経費科目名,税区分,経費科目の説明,,,,,
●_オンライン金平亭飲食代_税率(軽)8%（食べ物等）,課対仕入8%（軽）,"オンライン金平亭の飲食費 （一人当たり2,000円まで） （注）1枚の領収書=申請行は一行：税率ごとに『明細追加』で明細行を分けて申請のこと ・内容/目的：部門員モチベーション向上 ・上限枠：社員１名あたり2,000円 　※ 当社役職員のみ。業務委託先の担当者は対象外",,,,,
●_書籍購入制度（福利厚生制度）,課対仕入,"福利厚生制度「書籍購入制度」を利用した書籍購入に使用（月3,000円まで） 3,000円/月(36,000円/年)のうち、1,500円/月までは有料メディアの購読費にも利用可能 ※1,500円/月を超える部分に関しては自己負担",,,,,
●_健康診断（オプション精算用）,課対仕入,"健康診断（オプション）精算（会社負担：20,000円まで※法定健診代を含む）",,,,,
●_社員旅行_立替_上限3万円まで,対象外,社員旅行の立替航空券（または鉄道旅費）代,,,,,
配送時の交通費（駐車代、高速代等）,課対仕入,配送時の交通費(配送員の立替経費),,,,,
配送時の交通費（高速代_関空橋税）,対象外,配送時の交通費(配送員の立替経費)・・・泉佐野市関空橋税分,,,,,
配送-ゴミ処理券（DS/配送）,課対仕入,DS/配送：ゴミ処理券を購入時,,,,,
備品（10%）,課対仕入,備品代（消費税が10%のもの）,,,,,
備品（軽8%）,課対仕入8%（軽）,備品代（消費税が軽減税率8%のもの）,,,,,
印刷（コピー）代,課対仕入,コンビニや印刷業者でポスターの印刷や資料の印刷（コピー）をした時の精算,,,,,
手数料,課対仕入,支払手数料の精算 ・公的機関での証明書発行手数料 ・キャンセル手数料、等,,,,,
公的機関への手数料（収入印紙等）,対象外,印紙税、登録免許税、事業用の自動車税等の公的機関への税金の支払,,,,,
★切手代,課対仕入,切手を購入した時の精算,,,,,
★レターパック,課対仕入,レターパックの購入時の精算,,,,,
★宅急便（ゆうパック他）,課対仕入,宅急便（ゆうパック他）を利用して商品以外の荷物を配送した時の精算,,,,,
★通信費（その他）,課対仕入,切手代、宅急便、レターパック以外の通信費（電話代、FAX代など）,,,,,
社用車_月極駐車場,課対仕入,社用車用に契約している月極駐車場代の精算 契約書（契約内容のわかるページ）もしくは領収書を添付 （インボイス制度開始前に契約されている方は、インボイス情報の追加資料があれば添付のこと）,,,,,
社用車_月極駐車場（振込手数料）,課対仕入,社用車用に契約している月極駐車場代の精算の際にかかった振込手数料 振込手数料の領収書（ATMで振込をした場合は、ATMの所在地を記載のこと）を添付,,,,,
【使用しない】旅費交通費,課対仕入,①電車、飛行機などの交通費（※バスの利用は「★_バス代」の経費科目をつかってください。） ②出張費、宿泊代 ※近距離交通費（在来線の有料特急以外）以外は領収書の添付が必須です。,,,,,
【使用しない】zoom利用料,課対仕入,zoomのアカウント利用料を精算する際に選択,,,,,
社外研修参加費,課対仕入,社外での研修受講費,,,,,
キャンセル,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
